"slug","country","country_code","city","city_normalized","mission_name","mission_name_normalized","mission_type","parent_mission_slug","address","phones","emails","faxes","emergency_phones","website_url","appointment_url","jurisdiction","working_hours","office_hours_structured","consular_call_center","parser_confidence","data_completeness_score","status","verification_status","source_hash","source_url","scraped_at","last_verified_at","contact_fields","raw_snapshot"
"anvers-baskonsoloslugu-https-anvers-bk-mfa-gov-tr","Belçika","BE","Anvers","anvers","Anvers Başkonsolosluğu","anvers baskonsoloslugu","consulate_general",,,"[]","[]","[]","[]","https://anvers-bk.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","2ff92ac89c6f35b1b0ed5b396cbde5dd6a106cd4","https://anvers-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.015Z","2026-06-02T08:31:22.015Z","{""directory_mission_id"":1100081,""directory_mission_type_label"":""Başkonsolosluk"",""directory_country_id"":150133,""directory_web_key"":""anvers-bk."",""normalized_city"":""anvers"",""normalized_mission_name"":""anvers baskonsoloslugu"",""country_code_inferred"":""BE"",""has_structured_working_hours"":false}","{""misyonId"":1100081,""misyonAdi"":""Anvers Başkonsolosluğu"",""misyonAdiKisa"":""Anvers BK"",""url"":""http://anvers-bk.mfa.gov.tr/"",""misyonTurId"":30002,""misyonTurAdi"":""Başkonsolosluk"",""ulkeId"":150133,""ulkeKod"":""BEL"",""ulkeAd"":""Belçika"",""webKey"":""anvers-bk.""}"
"askabat-buyukelciligi-https-askabat-be-mfa-gov-tr","Türkmenistan","TK","Aşkabat","askabat","Aşkabat Büyükelçiliği","askabat buyukelciligi","embassy",,,"[]","[]","[]","[]","https://askabat-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","7fcce410c97446414c34b634da5c802d6a512396","https://askabat-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.014Z","2026-06-02T08:31:22.014Z","{""directory_mission_id"":1100065,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150119,""directory_web_key"":""askabat-be."",""normalized_city"":""askabat"",""normalized_mission_name"":""askabat buyukelciligi"",""country_code_inferred"":""TK"",""has_structured_working_hours"":false}","{""misyonId"":1100065,""misyonAdi"":""Aşkabat Büyükelçiliği"",""misyonAdiKisa"":""Aşkabat BE"",""url"":""http://askabat-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150119,""ulkeKod"":""TKM"",""ulkeAd"":""Türkmenistan"",""webKey"":""askabat-be.""}"
"asmara-buyukelciligi-https-asmara-be-mfa-gov-tr","Eritre Devleti","ER","Asmara","asmara","Asmara Büyükelçiliği","asmara buyukelciligi","embassy",,,"[]","[]","[]","[]","https://asmara-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","4064d4d294b780017b950c3a08e3c6aa94d02d02","https://asmara-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.025Z","2026-06-02T08:31:22.025Z","{""directory_mission_id"":11083073,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":151046,""directory_web_key"":""asmara-be."",""normalized_city"":""asmara"",""normalized_mission_name"":""asmara buyukelciligi"",""country_code_inferred"":""ER"",""has_structured_working_hours"":false}","{""misyonId"":11083073,""misyonAdi"":""Asmara Büyükelçiliği"",""misyonAdiKisa"":""Asmara BE"",""url"":""http://asmara-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":151046,""ulkeKod"":""ERI"",""ulkeAd"":""Eritre Devleti"",""webKey"":""asmara-be.""}"
"astana-buyukelciligi-https-astana-be-mfa-gov-tr","Kazakistan","KA","Astana","astana","Astana Büyükelçiliği","astana buyukelciligi","embassy",,,"[]","[]","[]","[]","https://astana-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","bb21d199889fa7123684362024ba636322022062","https://astana-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.009Z","2026-06-02T08:31:22.009Z","{""directory_mission_id"":11084811,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150054,""directory_web_key"":""astana-be."",""normalized_city"":""astana"",""normalized_mission_name"":""astana buyukelciligi"",""country_code_inferred"":""KA"",""has_structured_working_hours"":false}","{""misyonId"":11084811,""misyonAdi"":""Astana Büyükelçiliği"",""misyonAdiKisa"":""Astana BE"",""url"":""http://astana-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150054,""ulkeKod"":""KAZ"",""ulkeAd"":""Kazakistan"",""webKey"":""astana-be.""}"
"asuncion-buyukelciligi-https-asuncion-be-mfa-gov-tr","Paraguay","PR","Asuncion","asuncion","Asuncion Büyükelçiliği","asuncion buyukelciligi","embassy",,,"[]","[]","[]","[]","https://asuncion-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","825eabea0dc220c48b0acc8e9acd1249b2b2c91d","https://asuncion-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.026Z","2026-06-02T08:31:22.026Z","{""directory_mission_id"":11084758,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150092,""directory_web_key"":null,""normalized_city"":""asuncion"",""normalized_mission_name"":""asuncion buyukelciligi"",""country_code_inferred"":""PR"",""has_structured_working_hours"":false}","{""misyonId"":11084758,""misyonAdi"":""Asuncion Büyükelçiliği"",""misyonAdiKisa"":""Asuncion BE"",""url"":""http://asuncion-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150092,""ulkeKod"":""PRY"",""ulkeAd"":""Paraguay"",""webKey"":""""}"
"atina-buyukelciligi-https-atina-be-mfa-gov-tr","Yunanistan","GR","Atina","atina","Atina Büyükelçiliği","atina buyukelciligi","embassy",,,"[]","[]","[]","[]","https://atina-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","914838ad57eee5600e612f8fe5c79a5f1db976f8","https://atina-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.023Z","2026-06-02T08:31:22.023Z","{""directory_mission_id"":1100171,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150176,""directory_web_key"":""atina-be."",""normalized_city"":""atina"",""normalized_mission_name"":""atina buyukelciligi"",""country_code_inferred"":""GR"",""has_structured_working_hours"":false}","{""misyonId"":1100171,""misyonAdi"":""Atina Büyükelçiliği"",""misyonAdiKisa"":""Atina BE"",""url"":""http://atina-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150176,""ulkeKod"":""GRC"",""ulkeAd"":""Yunanistan"",""webKey"":""atina-be.""}"
"atina-pire-baskonsoloslugu-https-atinapire-bk-mfa-gov-tr","Yunanistan","GR","Atina - Pire","atina pire","Atina - Pire Başkonsolosluğu","atina pire baskonsoloslugu","consulate_general",,,"[]","[]","[]","[]","https://atinapire-bk.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","456c56fd52e0fe5c152d3322879f5d3be676cf9a","https://atinapire-bk.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.024Z","2026-06-02T08:31:22.024Z","{""directory_mission_id"":1100172,""directory_mission_type_label"":""Başkonsolosluk"",""directory_country_id"":150176,""directory_web_key"":""atinapire-bk."",""normalized_city"":""atina pire"",""normalized_mission_name"":""atina pire baskonsoloslugu"",""country_code_inferred"":""GR"",""has_structured_working_hours"":false}","{""misyonId"":1100172,""misyonAdi"":""Atina - Pire Başkonsolosluğu"",""misyonAdiKisa"":""Atina - Pire BK"",""url"":""http://atinapire-bk.mfa.gov.tr/"",""misyonTurId"":30002,""misyonTurAdi"":""Başkonsolosluk"",""ulkeId"":150176,""ulkeKod"":""GRC"",""ulkeAd"":""Yunanistan"",""webKey"":""atinapire-bk.""}"
"bagdat-buyukelciligi-https-bagdat-be-mfa-gov-tr","Irak","IR","Bağdat","bagdat","Bağdat Büyükelçiliği","bagdat buyukelciligi","embassy",,,"[]","[]","[]","[]","https://bagdat-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","6384bf12c0a5f9fd23bce642e90ff77a7dd1f0fd","https://bagdat-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.021Z","2026-06-02T08:31:22.021Z","{""directory_mission_id"":1100145,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150162,""directory_web_key"":""bagdat-be."",""normalized_city"":""bagdat"",""normalized_mission_name"":""bagdat buyukelciligi"",""country_code_inferred"":""IR"",""has_structured_working_hours"":false}","{""misyonId"":1100145,""misyonAdi"":""Bağdat Büyükelçiliği"",""misyonAdiKisa"":""Bağdat BE"",""url"":""http://bagdat-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150162,""ulkeKod"":""IRQ"",""ulkeAd"":""Irak"",""webKey"":""bagdat-be.""}"
"baku-buyukelciligi-https-baku-be-mfa-gov-tr","Azerbaycan","AZ","Bakü","baku","Bakü Büyükelçiliği","baku buyukelciligi","embassy",,,"[]","[]","[]","[]","https://baku-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","23d0c3d71587bd19e9c01446f10962463e44314e","https://baku-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.021Z","2026-06-02T08:31:22.021Z","{""directory_mission_id"":1100147,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150164,""directory_web_key"":""baku-be."",""normalized_city"":""baku"",""normalized_mission_name"":""baku buyukelciligi"",""country_code_inferred"":""AZ"",""has_structured_working_hours"":false}","{""misyonId"":1100147,""misyonAdi"":""Bakü Büyükelçiliği"",""misyonAdiKisa"":""Bakü BE"",""url"":""http://baku-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150164,""ulkeKod"":""AZE"",""ulkeAd"":""Azerbaycan"",""webKey"":""baku-be.""}"
"bamako-buyukelciligi-https-bamako-be-mfa-gov-tr","Mali","ML","Bamako","bamako","Bamako Büyükelçiliği","bamako buyukelciligi","embassy",,,"[]","[]","[]","[]","https://bamako-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","c7cabaed57e51342a4de328791e785745a430aca","https://bamako-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.011Z","2026-06-02T08:31:22.011Z","{""directory_mission_id"":1100182,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150072,""directory_web_key"":""bamako-be."",""normalized_city"":""bamako"",""normalized_mission_name"":""bamako buyukelciligi"",""country_code_inferred"":""ML"",""has_structured_working_hours"":false}","{""misyonId"":1100182,""misyonAdi"":""Bamako Büyükelçiliği"",""misyonAdiKisa"":""Bamako BE"",""url"":""http://bamako-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150072,""ulkeKod"":""MLI"",""ulkeAd"":""Mali"",""webKey"":""bamako-be.""}"
"bandar-seri-begavan-buyukelciligi-https-bandar-be-mfa-gov-tr","Brunei","BR","Bandar Seri Begavan","bandar seri begavan","Bandar Seri Begavan Büyükelçiliği","bandar seri begavan buyukelciligi","embassy",,,"[]","[]","[]","[]","https://bandar-be.mfa.gov.tr","https://www.konsolosluk.gov.tr/",,,"{}",,"28","14","needs_review","official_directory_seed","d609883c00ac5fb858878f1b7379b63063f7c3ce","https://bandar-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:31:22.003Z","2026-06-02T08:31:22.003Z","{""directory_mission_id"":11083074,""directory_mission_type_label"":""Büyükelçilik"",""directory_country_id"":150011,""directory_web_key"":""bandar-be."",""normalized_city"":""bandar seri begavan"",""normalized_mission_name"":""bandar seri begavan buyukelciligi"",""country_code_inferred"":""BR"",""has_structured_working_hours"":false}","{""misyonId"":11083074,""misyonAdi"":""Bandar Seri Begavan Büyükelçiliği"",""misyonAdiKisa"":""Bandar Seri Begavan BE"",""url"":""http://bandar-be.mfa.gov.tr/"",""misyonTurId"":30001,""misyonTurAdi"":""Büyükelçilik"",""ulkeId"":150011,""ulkeKod"":""BRN"",""ulkeAd"":""Brunei"",""webKey"":""bandar-be.""}"
